TranscriptID	GeneID	TranscriptCategory	GeneSymbol
XM_049852497.1	LOC126085925	mRNA	LPP
XM_049852498.1	LOC126088026	mRNA	PRKN
XM_049852499.1	LOC126088013	mRNA	LOC126088013
XM_049852500.1	LOC126088079	mRNA	ADAMTSL3
XM_049852501.1	LOC126057118	mRNA	EFL1
XM_049852502.1	LOC126057118	mRNA	EFL1
XM_049852503.1	LOC126057119	mRNA	MEX3B
XM_049852504.1	LOC126057120	mRNA	SAXO2
XM_049852505.1	LOC126057120	mRNA	SAXO2
XM_049852506.1	LOC126057120	mRNA	SAXO2
XM_049852507.1	LOC126057121	mRNA	AP3B2
XM_049852508.1	LOC126088013	mRNA	LOC126088013
XM_049852509.1	LOC126057121	mRNA	AP3B2
XM_049852510.1	LOC126057122	mRNA	RPS17
XM_049852511.1	LOC126057123	mRNA	GCNT3
XM_049852512.1	LOC126057124	mRNA	ANKRD34C
XM_049852513.1	LOC126057125	mRNA	FAH
XM_049852514.1	LOC126057125	mRNA	FAH
XM_049852515.1	LOC126057126	mRNA	MTHFS
XM_049852516.1	LOC126088013	mRNA	LOC126088013
XM_049852517.1	LOC126057126	mRNA	MTHFS
XM_049852518.1	LOC126057126	mRNA	MTHFS
XM_049852519.1	LOC126057126	mRNA	MTHFS
XM_049852520.1	LOC126057126	mRNA	MTHFS
XM_049852521.1	LOC126057126	mRNA	MTHFS
XM_049852522.1	LOC126057126	mRNA	MTHFS
XM_049852523.1	LOC126057126	mRNA	MTHFS
XM_049852524.1	LOC126057126	mRNA	MTHFS
XM_049852525.1	LOC126057126	mRNA	MTHFS
XM_049852526.1	LOC126057126	mRNA	MTHFS
XM_049852527.1	LOC126088013	mRNA	LOC126088013
XM_049852528.1	LOC126057126	mRNA	MTHFS
XM_049852529.1	LOC126057126	mRNA	MTHFS
XM_049852530.1	LOC126057127	mRNA	ZFAND6
XM_049852531.1	LOC126057127	mRNA	ZFAND6
XM_049852532.1	LOC126057127	mRNA	ZFAND6
XM_049852533.1	LOC126057127	mRNA	ZFAND6
XM_049852534.1	LOC126057127	mRNA	ZFAND6
XM_049852535.1	LOC126057127	mRNA	ZFAND6
XM_049852536.1	LOC126057128	mRNA	TMED3
XM_049852537.1	LOC126088013	mRNA	LOC126088013
XM_049852538.1	LOC126057129	mRNA	BCL2A1
XM_049852539.1	LOC126057130	mRNA	CTXND1
XM_049852540.1	LOC126057130	mRNA	CTXND1
XM_049852541.1	LOC126057130	mRNA	CTXND1
XM_049852542.1	LOC126057130	mRNA	CTXND1
XM_049852543.1	LOC126057133	mRNA	AEN
XM_049852544.1	LOC126057135	mRNA	STRA6
XM_049852545.1	LOC126057136	mRNA	LOC126057136
XM_049852546.1	LOC126057136	mRNA	LOC126057136
XM_049852547.1	LOC126057136	mRNA	LOC126057136
XM_049852548.1	LOC126057134	mRNA	PSMB1
XM_049852549.1	LOC126057137	mRNA	RPS3A
XM_049852550.1	LOC126057138	mRNA	PRC1
XM_049852551.1	LOC126057138	mRNA	PRC1
XM_049852552.1	LOC126057138	mRNA	PRC1
XM_049852553.1	LOC126057138	mRNA	PRC1
XM_049852554.1	LOC126057139	mRNA	RPLP1
XM_049852555.1	LOC126057140	mRNA	SKOR1
XM_049852556.1	LOC126057141	mRNA	LINGO1
XM_049852557.1	LOC126057134	mRNA	PSMB1
XM_049852558.1	LOC126057141	mRNA	LINGO1
XM_049852559.1	LOC126057141	mRNA	LINGO1
XM_049852560.1	LOC126057142	mRNA	RBPMS2
XM_049852561.1	LOC126057142	mRNA	RBPMS2
XM_049852562.1	LOC126057142	mRNA	RBPMS2
XM_049852563.1	LOC126057143	mRNA	CIB1
